RDSI ID,Street light category,Street Light (In Watts or KVA),Street Division Name,Street Ward Number,Street Name,Street Address,Street Light ID
1000490300194,Sodium Vapour,70,Central Zone,49,SASTHRI STREET,287,1000490900001
1000490300194,Sodium Vapour,70,Central Zone,49,SASTHRI STREET,288,1000490900002
1000490300194,Sodium Vapour,70,Central Zone,49,SASTHRI STREET,289,1000490900003
1000490300194,Sodium Vapour,70,Central Zone,49,SASTHRI STREET,290,1000490900004
1000490300086,Sodium Vapour,70,Central Zone,49,GANAPATHY NANJAPPAN STREET,NULL,1000490900005
1000490300111,Sodium Vapour,70,Central Zone,49,GANAPATHY NANJAPPAN STREET,346,1000490900006
1000490300153,Sodium Vapour,70,Central Zone,49,SAMPATH STREET,NULL,1000490900007
1000490300121,Sodium Vapour,70,Central Zone,49,KAKKAN STREET,437,1000490900008
1000490300122,Sodium Vapour,70,Central Zone,49,KAKKAN STREET,436,1000490900009
1000490300122,Sodium Vapour,70,Central Zone,49,KAKKAN STREET,435,1000490900010
1000490300122,Sodium Vapour,70,Central Zone,49,KAKKAN STREET,434,1000490900011
1000490300123,Sodium Vapour,70,Central Zone,49,KAKKAN STREET,433,1000490900012
1000490300112,Sodium Vapour,70,Central Zone,49,GOVINDASAMY STREET,432,1000490900013
1000490300125,Sodium Vapour,70,Central Zone,49,GOVINDASAMY STREET,431,1000490900014
1000490300125,Sodium Vapour,70,Central Zone,49,GOVINDASAMY STREET,430,1000490900015
1000450300259,Transformer,22KVA,Central Zone,45,NEW MULLAI NAGAR,NULL,1000450900001
1000450300237,Sodium Vapour,70,Central Zone,45,S P KANNUSAMY STREET,992,1000450900002
1000450300237,Sodium Vapour,70,Central Zone,45,S P KANNUSAMY STREET,991,1000450900003
1000450300237,Sodium Vapour,70,Central Zone,45,S P KANNUSAMY STREET,990,1000450900004
1000450300237,Sodium Vapour,70,Central Zone,45,S P KANNUSAMY STREET,986,1000450900005
1000450300187,Sodium Vapour,70,Central Zone,45,S P KANNUSAMY STREET,985,1000450900006
1000450300187,Sodium Vapour,70,Central Zone,45,S P KANNUSAMY STREET,984,1000450900007
1000450300234,Sodium Vapour,70,Central Zone,45,S P KANNUSAMY STREET,982,1000450900008
1000450300234,Sodium Vapour,70,Central Zone,45,S P KANNUSAMY STREET,981,1000450900009
1000450300234,Sodium Vapour,70,Central Zone,45,S P KANNUSAMY STREET,980,1000450900010
1000450300234,Sodium Vapour,70,Central Zone,45,S P KANNUSAMY STREET,979,1000450900011
1000450300473,Sodium Vapour,70,Central Zone,45,SHANMUGA GOUNDER STREET,978,1000450900012
1000450300473,Sodium Vapour,70,Central Zone,45,SHANMUGA GOUNDER STREET,977,1000450900013
1000450300187,Sodium Vapour,70,Central Zone,45,S P KANNUSAMY STREET,983,1000450900014
1000450300068,Sodium Vapour,70,Central Zone,45,SHANMUGA GOUNDER STREET,974,1000450900015
1000450300068,Sodium Vapour,70,Central Zone,45,SHANMUGA GOUNDER STREET,975,1000450900016
1000450300068,Sodium Vapour,70,Central Zone,45,SHANMUGA GOUNDER STREET,976,1000450900017
1000450300189,Sodium Vapour,70,Central Zone,45,S P KANNUSAMY STREET,973,1000450900018
1000450300019,Sodium Vapour,70,Central Zone,45,S P KANNUSAMY STREET,972,1000450900019
1000450300019,Sodium Vapour,70,Central Zone,45,S P KANNUSAMY STREET,971,1000450900020
